!Material	MoCr-PVInew	
!		
!Wavelength	Refractive Index	Extinction Coefficient

549.57	3.88991	3.62154
551.16	3.89384	3.62324
552.74	3.89772	3.62492
554.32	3.90157	3.62658
555.91	3.90537	3.62823
557.49	3.90913	3.62986
559.07	3.91285	3.63148
560.66	3.91653	3.63308
562.24	3.92017	3.63466
563.83	3.92376	3.63623
565.41	3.92731	3.63779
566.99	3.93082	3.63934
568.58	3.93428	3.64087
570.16	3.9377	3.64239
571.74	3.94108	3.6439
573.33	3.94442	3.64539
574.91	3.94771	3.64688
576.49	3.95095	3.64836
578.08	3.95416	3.64982
579.66	3.95732	3.65128
581.24	3.96043	3.65273
582.83	3.9635	3.65417
584.41	3.96653	3.6556
585.99	3.96951	3.65702
587.57	3.97245	3.65844
589.16	3.97534	3.65985
590.74	3.97819	3.66125
592.32	3.98099	3.66265
593.91	3.98375	3.66404
595.49	3.98647	3.66543
597.07	3.98913	3.66682
598.65	3.99176	3.6682
600.24	3.99434	3.66957
601.82	3.99688	3.67095
603.4	3.99937	3.67232
604.98	4.00182	3.67369
606.57	4.00422	3.67506
608.15	4.00658	3.67642
609.73	4.00889	3.67779
611.31	4.01116	3.67915
612.89	4.01338	3.68052
614.48	4.01556	3.68188
616.06	4.0177	3.68325
617.64	4.01979	3.68462
619.22	4.02184	3.68598
620.8	4.02385	3.68736
622.39	4.02581	3.68873
623.97	4.02772	3.69011
625.55	4.0296	3.69149
627.13	4.03143	3.69287
628.71	4.03321	3.69426
630.29	4.03495	3.69565
631.87	4.03665	3.69704
633.46	4.03831	3.69845
635.04	4.03993	3.69985
636.62	4.0415	3.70127
638.2	4.04302	3.70269
639.78	4.04451	3.70411
641.36	4.04595	3.70554
642.94	4.04735	3.70698
644.52	4.04871	3.70843
646.1	4.05003	3.70989
647.68	4.05131	3.71135
649.27	4.05254	3.71283
650.85	4.05373	3.71431
652.43	4.05488	3.7158
654.01	4.05599	3.7173
655.59	4.05706	3.71881
657.17	4.05809	3.72034
658.75	4.05908	3.72187
660.33	4.06002	3.72341
661.91	4.06093	3.72497
663.49	4.0618	3.72653
665.07	4.06263	3.72811
666.65	4.06342	3.7297
668.23	4.06416	3.73131
669.81	4.06487	3.73292
671.39	4.06554	3.73455
672.97	4.06618	3.73619
674.55	4.06677	3.73785
676.12	4.06732	3.73952
677.7	4.06784	3.74121
679.28	4.06832	3.74291
680.86	4.06876	3.74462
682.44	4.06917	3.74635
684.02	4.06953	3.74809
685.6	4.06986	3.74985
687.18	4.07015	3.75163
688.76	4.07041	3.75342
690.33	4.07063	3.75523
691.91	4.07081	3.75705
693.49	4.07096	3.75889
695.07	4.07107	3.76075
696.65	4.07115	3.76263
698.23	4.07119	3.76452
699.8	4.0712	3.76643
701.38	4.07117	3.76836
702.96	4.07111	3.77031
704.54	4.07101	3.77228
706.12	4.07088	3.77426
707.69	4.07071	3.77627
709.27	4.07051	3.77829
710.85	4.07028	3.78033
712.43	4.07002	3.78239
714	4.06972	3.78447
715.58	4.06939	3.78657
717.16	4.06903	3.7887
718.73	4.06863	3.79084
720.31	4.06821	3.793
721.89	4.06775	3.79518
723.46	4.06726	3.79738
725.04	4.06674	3.79961
726.62	4.06619	3.80185
728.19	4.06561	3.80412
729.77	4.06499	3.80641
731.35	4.06435	3.80872
732.92	4.06368	3.81105
734.5	4.06298	3.8134
736.07	4.06225	3.81578
737.65	4.06149	3.81818
739.22	4.0607	3.8206
740.8	4.05988	3.82304
742.37	4.05904	3.82551
743.95	4.05816	3.828
745.53	4.05726	3.83051
747.1	4.05633	3.83305
748.68	4.05538	3.83561
750.25	4.05439	3.83819
751.82	4.05338	3.84079
753.4	4.05235	3.84342
754.97	4.05129	3.84608
756.55	4.0502	3.84876
758.12	4.04908	3.85146
759.7	4.04795	3.85418
761.27	4.04678	3.85693
762.84	4.04559	3.85971
764.42	4.04438	3.86251
765.99	4.04314	3.86533
767.57	4.04187	3.86818
769.14	4.04059	3.87106
770.71	4.03928	3.87396
772.29	4.03794	3.87688
773.86	4.03658	3.87983
775.43	4.0352	3.8828
777	4.0338	3.88581
778.58	4.03238	3.88883
780.15	4.03093	3.89188
781.72	4.02946	3.89496
783.29	4.02797	3.89806
784.87	4.02646	3.90119
786.44	4.02493	3.90434
788.01	4.02337	3.90753
789.58	4.0218	3.91073
791.15	4.0202	3.91396
792.72	4.01859	3.91722
794.3	4.01695	3.92051
795.87	4.0153	3.92382
797.44	4.01362	3.92716
799.01	4.01193	3.93052
800.58	4.01022	3.93391
802.15	4.00849	3.93733
803.72	4.00674	3.94077
805.29	4.00497	3.94424
806.86	4.00319	3.94774
808.43	4.00139	3.95127
810	3.99957	3.95482
811.57	3.99773	3.9584
813.14	3.99588	3.962
814.71	3.99401	3.96563
816.28	3.99212	3.96929
817.85	3.99022	3.97298
819.42	3.9883	3.97669
820.99	3.98637	3.98043
822.56	3.98442	3.9842
824.12	3.98246	3.98799
825.69	3.98048	3.99181
827.26	3.97849	3.99566
828.83	3.97648	3.99954
830.4	3.97446	4.00344
831.97	3.97242	4.00737
833.53	3.97037	4.01133
835.1	3.96831	4.01531
836.67	3.96624	4.01932
838.24	3.96415	4.02336
839.8	3.96204	4.02743
841.37	3.95993	4.03152
842.94	3.95781	4.03564
844.5	3.95567	4.03979
846.07	3.95352	4.04397
847.64	3.95136	4.04817
849.2	3.94919	4.0524
850.77	3.947	4.05666
852.33	3.94481	4.06094
853.9	3.94261	4.06526
855.46	3.94039	4.0696
857.03	3.93817	4.07396
858.59	3.93593	4.07836
860.16	3.93369	4.08278
861.72	3.93143	4.08722
863.29	3.92917	4.0917
864.85	3.9269	4.0962
866.42	3.92462	4.10073
867.98	3.92233	4.10529
869.55	3.92004	4.10987
871.11	3.91773	4.11448
872.67	3.91542	4.11912
874.24	3.9131	4.12379
875.8	3.91077	4.12848
877.36	3.90844	4.1332
878.92	3.9061	4.13794
880.49	3.90375	4.14272
882.05	3.90139	4.14752
883.61	3.89903	4.15234
885.17	3.89667	4.1572
886.74	3.89429	4.16208
888.3	3.89191	4.16698
889.86	3.88953	4.17192
891.42	3.88714	4.17688
892.98	3.88475	4.18186
894.54	3.88235	4.18688
896.1	3.87995	4.19191
897.66	3.87754	4.19698
899.22	3.87513	4.20207
900.78	3.87271	4.20719
902.34	3.87029	4.21234
903.9	3.86787	4.21751
905.46	3.86544	4.2227
907.02	3.86301	4.22792
908.58	3.86058	4.23317
910.14	3.85815	4.23845
911.7	3.85571	4.24375
913.26	3.85327	4.24907
914.82	3.85083	4.25442
916.37	3.84839	4.2598
917.93	3.84594	4.2652
919.49	3.84349	4.27063
921.05	3.84105	4.27608
922.61	3.8386	4.28156
924.16	3.83615	4.28707
925.72	3.8337	4.29259
927.28	3.83124	4.29815
928.83	3.82879	4.30373
930.39	3.82634	4.30933
931.94	3.82389	4.31496
933.5	3.82143	4.32061
935.06	3.81898	4.32629
936.61	3.81653	4.33199
938.17	3.81408	4.33772
939.72	3.81163	4.34347
941.28	3.80918	4.34925
942.83	3.80673	4.35505
944.38	3.80429	4.36087
945.94	3.80185	4.36672
947.49	3.7994	4.37259
949.05	3.79696	4.37849
950.6	3.79452	4.38441
952.15	3.79209	4.39035
953.71	3.78965	4.39632
955.26	3.78722	4.40231
956.81	3.78479	4.40832
958.36	3.78237	4.41436
959.91	3.77994	4.42042
961.47	3.77752	4.4265
963.02	3.7751	4.43261
964.57	3.77269	4.43873
966.12	3.77028	4.44488
967.67	3.76788	4.45106
969.22	3.76548	4.45725
970.77	3.76308	4.46347
972.32	3.76069	4.46972
973.87	3.7583	4.47598
975.42	3.75591	4.48226
976.97	3.75354	4.48857
978.52	3.75116	4.4949
980.07	3.74879	4.50125
981.62	3.74643	4.50762
983.16	3.74407	4.51402
984.71	3.74171	4.52043
986.26	3.73937	4.52687
987.81	3.73702	4.53333
989.36	3.73469	4.5398
990.9	3.73236	4.5463
992.45	3.73003	4.55282
994	3.72772	4.55936
995.54	3.7254	4.56593
997.09	3.7231	4.57251
1011.2	3.70231	4.63371
1014.5	3.69755	4.64822
1017.8	3.69283	4.66283
1021.1	3.68813	4.67755
1024.4	3.68347	4.69235
1027.7	3.67885	4.70726
1031	3.67426	4.72226
1034.3	3.66971	4.73735
1037.6	3.6652	4.75253
1041	3.66073	4.76781
1044.3	3.6563	4.78317
1047.6	3.65192	4.79863
1050.9	3.64757	4.81417
1054.2	3.64327	4.8298
1057.5	3.63902	4.84551
1060.8	3.6348	4.86131
1064.2	3.63064	4.8772
1067.5	3.62652	4.89316
